,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
104,FCNN,MHFP6,16,0.370652833,0.821021573,0.691770851,0.993775564,0.960649293,0.975927553,2283,0.970510434,0.975927553,0.691770851,0.478546911,0.493871354,0.105754949
105,FCNN,MHFP6,32,0.339667747,1.616979839,2.44841207,0.994246954,0.87065522,0.82562297,296,0.804339638,0.82562297,2.44841207,5.994721663,1.084434632,0.192495018
106,FCNN,MHFP6,64,0.348044919,0.938012998,1.190654612,0.994191353,0.954924453,0.935053168,5842,0.927182028,0.935053168,1.190654612,1.417658405,0.735812235,0.127675502
107,FCNN,MHFP6,128,0.338534778,0.803655514,1.607610482,0.99472758,0.958952506,0.851681883,5918,0.849337473,0.851681883,1.607610482,2.584411463,0.80257037,0.120651389
108,FCNN,MHFP6,256,0.264793441,0.920995225,1.811410663,0.996643407,0.957810883,0.837955405,1233,0.830605577,0.837955405,1.811410663,3.28120859,0.813654463,0.210867044
109,FCNN,MHFP6,512,0.339436831,1.154160381,1.165803631,0.994555038,0.90686269,0.939833216,104,0.938450657,0.939833216,1.165803631,1.359098106,0.810321184,0.140261022
average,,,,,,,,,,,0.901559076,0.908828784,1.377518409,2.122915525,0.787096717,0.145753937
st.p,,,,,,,,,,,0.052447453,0.049656616,0.474719453,1.523317293,0.159389116,0.037157643
,,,,,,,,,,,,,,,,
110,FCNN,Property,1,3.478077802,4.351470292,3.936579585,0.452392773,0.202768402,0.216246039,5962,0.203997511,0.216246039,3.936579585,15.49665883,2.773778198,0.765667354
111,FCNN,Property,2,3.915921769,4.965990801,4.618642992,0.296075196,0.182614058,0.027659486,2671,-0.093137513,0.027659486,4.618642992,21.33186309,3.890224434,0.973528928
112,FCNN,Property,4,3.978353721,4.410608841,3.342234613,0.402146572,0.272386645,0.301117073,5930,0.269335336,0.301117073,3.342234613,11.17053221,2.405279243,0.526518886
113,FCNN,Property,8,3.652363423,3.998550873,4.13892955,0.339810016,0.369005573,0.311109897,5941,0.297439569,0.311109897,4.13892955,17.13073782,3.138375631,1.023373781
114,FCNN,Property,16,3.435582457,3.671043672,3.777149197,0.460714238,0.18660576,0.223399957,5992,0.120831443,0.223399957,3.777149197,14.26685606,3.05520121,0.799943112
115,FCNN,Property,32,4.245103641,4.028235247,4.513466173,0.495069233,0.532099463,0.456161412,5749,0.335103246,0.456161412,4.513466173,20.37137689,3.303438375,0.846152967
116,FCNN,Property,64,3.76502863,4.016686566,4.211319365,0.343832609,0.177993911,0.192323985,5997,0.089031545,0.192323985,4.211319365,17.7352108,3.181058697,1.11111591
117,FCNN,Property,128,3.329516075,3.865594902,3.735775934,0.572568207,0.334283057,0.386327548,5826,0.1864107,0.386327548,3.735775934,13.95602183,2.878049228,0.572712405
118,FCNN,Property,256,3.749618603,3.522699044,3.91638648,0.3531333,0.363166119,0.222710907,5898,0.208161976,0.222710907,3.91638648,15.33808306,3.096614255,1.087732931
119,FCNN,Property,512,3.702728704,3.004624917,3.546192265,0.380006252,0.345601448,0.433063912,5963,0.430495488,0.433063912,3.546192265,12.57547958,2.796062231,0.679985824
average,,,,,,,,,,,0.20476693,0.277012022,3.973667615,15.93728202,3.05180815,0.83867321
st.p,,,,,,,,,,,0.137925417,0.122067366,0.383728678,3.077533254,0.371937735,0.197179896
,,,,,,,,,,,,,,,,
120,FCNN,Constitution,1,0.529143569,2.282480445,1.539355178,0.988642134,0.793062445,0.89231956,2625,0.878282219,0.89231956,1.539355178,2.369614364,0.77849608,0.161320248
121,FCNN,Constitution,2,0.757552202,1.661590433,1.480341423,0.974443319,0.850008874,0.903370787,1352,0.887702576,0.903370787,1.480341423,2.191410729,0.940459853,0.203100039
122,FCNN,Constitution,4,0.65107166,1.605053174,1.346964916,0.982168251,0.891681398,0.89318778,5970,0.881325665,0.89318778,1.346964916,1.814314485,0.899191246,0.147190325
123,FCNN,Constitution,8,0.588718186,2.198215622,2.288264925,0.982917935,0.803618345,0.796585683,4559,0.785256402,0.796585683,2.288264925,5.236156369,1.221589574,0.215056648
124,FCNN,Constitution,16,0.780469827,0.741387397,0.715337409,0.973102267,0.965902557,0.974463413,5999,0.968466967,0.974463413,0.715337409,0.511707608,0.538118051,0.152919138
125,FCNN,Constitution,32,0.554188121,1.637856048,2.302320341,0.987376347,0.880219035,0.83142975,2479,0.826992341,0.83142975,2.302320341,5.300678952,1.342206499,0.292351916
126,FCNN,Constitution,64,0.666890839,1.237479177,1.965679332,0.982827147,0.940863579,0.82521363,1748,0.801531162,0.82521363,1.965679332,3.863895236,1.37139658,0.403200177
127,FCNN,Constitution,128,0.60624822,1.108223225,2.665019993,0.987246062,0.943614314,0.640661061,5981,0.585957873,0.640661061,2.665019993,7.102331562,1.307228609,0.246953645
128,FCNN,Constitution,256,0.735624862,1.324222932,1.914310629,0.974386023,0.918262483,0.825682226,5937,0.810813524,0.825682226,1.914310629,3.664585185,1.185844472,0.293941059
129,FCNN,Constitution,512,0.774445304,1.134896524,1.630003819,0.972332497,0.918665968,0.895800075,5088,0.879676666,0.895800075,1.630003819,2.65691245,0.969638885,0.205431658
average,,,,,,,,,,,0.83060054,0.847871397,1.784759797,3.471160694,1.055416985,0.232146485
st.p,,,,,,,,,,,0.096269694,0.085014412,0.534596261,1.867004781,0.260650717,0.075685004
,,,,,,,,,,,,,,,,
130,FCNN,Autocorr,1,38.72090407,36.34921281,5.197573279,0.003380796,0.014369984,0.247714007,5954,-0.387642511,0.247714007,5.197573279,27.01476799,3.822271125,1.035042414
131,FCNN,Autocorr,2,187.5628625,191.7273487,4.834996988,0.077413823,0.209873329,0.372028999,5968,-0.197949267,0.372028999,4.834996988,23.37719587,3.706675561,1.007785448
132,FCNN,Autocorr,4,3.646545052,4.907993545,4.29015417,0.465884186,0.14026153,0.281126624,5999,-0.203898955,0.281126624,4.29015417,18.4054228,3.255211953,0.611400153
133,FCNN,Autocorr,8,3.703794922,4.11640624,4.747360747,0.373283123,0.323013786,0.192998045,5999,0.075701843,0.192998045,4.747360747,22.53743406,3.690446691,1.104898214
