smiles,rt_min
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCCCCCCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,15.668
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,8.233
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,8.833
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(COCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,7.753
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCOCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,7.84
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(COCCOCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,7.697
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCOCCOCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,8.1
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(CC6=CC=C(C7CCN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)CC7)C=C6)CC5)C(F)=C1,7.647
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(CC6CCN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)CC5)C(F)=C1,7.097
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(CC6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)CC5)C(F)=C1,7.017
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(CC6CN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)C6)CC5)C(F)=C1,6.913
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(CC6CC7(CN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)C7)C6)CC5)C(F)=C1,7.175
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CC6=CC=C(N7CCN(C8=CC9=C(C(N(C%10C(NC(CC%10)=O)=O)C9=O)=O)C=C8)CC7)C=C6)=O)CC5)C(F)=C1,8.218
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CC6CCN(C7=CC8=C(C(N(C9C(NC(CC9)=O)=O)C8=O)=O)C=C7)CC6)=O)CC5)C(F)=C1,8.23
