smiles,rt_min
O=C(NCCOCCOCCOC1=CC=CC(C(C2=CSC([C@H]3N(C([C@H](C4CCCCC4)NC([C@@H](NC)C)=O)=O)CCC3)=N2)=O)=C1)C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5,1.27
O=C(NCCOCCOCCOCCOCCOC1=CC=CC(C(C2=CSC([C@H]3N(C([C@H](C4CCCCC4)NC([C@@H](NC)C)=O)=O)CCC3)=N2)=O)=C1)C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5,1.27
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCOCCNC(C4=CC=C(C5=NC(CNC6=NC=CC(NCC(C)C)=N6)=CS5)C=C4)=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,1.34
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCOCCOCCNC(C4=CC=C(C5=NC(CNC6=NC=CC(NCC(C)C)=N6)=CS5)C=C4)=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,1.33
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCOCCOCCOCCNC(C4=CC=C(C5=NC(CNC6=NC=CC(NCC(C)C)=N6)=CS5)C=C4)=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,1.33
CC(C(C(N(C1=N2)C3CCCC3)=O)=C(C1=CN=C2NC(C=C4)=NC=C4N(CC5)CCN5CC(NCCOCCOCCOCC(NC6=CC=CC7=C6CN(C(CC8)C(NC8=O)=O)C7=O)=O)=O)C)=O,7.99
O=C(NCC1=CC=CC(C(N2C3CCC(NC3=O)=O)=O)=C1C2=O)COCCOCCOCCNC(CN4CCN(C5=CC=C(NC6=NC=C(C(C)=C(C(C)=O)C(N7C8CCCC8)=O)C7=N6)N=C5)CC4)=O,4.98
O=C(NCCOCCOCCOCCNC(COC1=CC=CC(C(N2C3CCC(NC3=O)=O)=O)=C1C2=O)=O)CN4CCN(C5=CC=C(NC6=NC=C(C(C)=C(C(C)=O)C(N7C8CCCC8)=O)C7=N6)N=C5)CC4,6.12
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCOCCOCCOCCC(N[C@H](C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)C(C)(C)C)=O)C=C1OC)N,0.87
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)C=C1OC)N,1.18
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCOCCOCCOCCOC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)C=C1OC)N,0.83
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCCCCCCCCCCOC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)C=C1OC)N,1.25
O=C(C1=CC2=C(C(OC[C@H]([C@H](CC)[C@@H]3F)NC3=O)=NC=C2C#CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N4[C@@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@H](O)C4)=O)=O)C=C1OC)N,1.28
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCCCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)C=C1OC)N,0.94
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N4[C@@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@H](O)C4)=O)=O)C=C1OC)N,1.2
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCOCCOCCOCCC(N[C@@H]4CN(C([C@H](C5CCCCC5)NC([C@@H](NC)C)=O)=O)[C@H](C(N[C@@H]6CCCC7=C6C=CC=C7)=O)C4)=O)C=C1OC)N,1.03
O=C(C1=CC2=C(C(OC[C@H](CC3)NC3=O)=NC=C2C#CCCCCCCCCCCC(N[C@@H]4CN(C([C@H](C5CCCCC5)NC([C@@H](NC)C)=O)=O)[C@H](C(N[C@@H]6CCCC7=C6C=CC=C7)=O)C4)=O)C=C1OC)N,1.37
O=C(C1=CC2=C(C(OC[C@H]([C@H](CC)[C@@H]3F)NC3=O)=NC=C2C#CCN4CCC5(CCN(C6=NC=C(C(N[C@H](C(C)(C)C)C(N7[C@H](C(NCC8=CC=C(C9=C(C)N=CS9)C=C8)=O)C[C@H](O)C7)=O)=O)C=N6)CC5)CC4)C=C1OC)N,1.11
O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC=CC(NCCOCCOCCOCCOCCOCCC(N4CCN(C(C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5)=O)CC4)=O)=C31)=O,13.6
O=C1N(C2C(N(C)C(CC2)=O)=O)C(C3=CC=CC(NCCOCCOCCOCCOCCOCCC(N4CCN(C(C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5)=O)CC4)=O)=C31)=O,14.5
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(C(CC5)C(NC5=O)=O)C=C4)=O)CC3)=C2)S1)NC6=C(C)C=CC=C6Cl,0.54
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(N(C(N5)=O)CCC5=O)C=C4)=O)CC3)=C2)S1)NC6=C(C)C=CC=C6Cl,0.62
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(C(N(C5CCC(NC5=O)=O)C6=O)=O)C6=C4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.57
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCC(N4CCN(C5=CC=C(C(CC6)C(NC6=O)=O)C=C5)CC4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.72
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCC(N4CCN(C5=CC=C(N(C(N6)=O)CCC6=O)C=C5)CC4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.57
O=C(NCC1=CC=C(C2=C(C)N=CS2)C=C1)[C@H]3N(C([C@H](C(C)(C)C)NC(COCCOCCNC(COC4=CC5=NC=NC(C6CCN(C(C7=CC=C(OC(F)(F)F)C=C7)=O)CC6)=C5N=C4)=O)=O)=O)C[C@H](O)C3,1.12
O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(NCCNC(C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C5=C(SC(C)=C5C)N6C(C)=NN=C36)=O)C=C2F,5.78
O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(NCCCCNC(C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C5=C(SC(C)=C5C)N6C(C)=NN=C36)=O)C=C2F,5.99
